player,position,game_date,tackles,meters_run,try_assists,fatigue_score,injury_status,total_distance,high_speed_runs,max_acceleration
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,43.0,292.5,6.0,52.243458,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,33.0,156.0,6.0,64.454666,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,19.0,87.0,4.5,65.01673,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,47.0,178.5,3.0,36.469727,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,12.0,78.0,0.0,56.06772,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,25.0,180.0,3.0,48.10619,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,43.0,63.0,3.0,88.49983,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,23.0,43.5,6.0,53.026512,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,27.0,132.0,4.5,44.103218,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,15.0,178.5,1.5,40.448544,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,15.0,79.5,4.5,57.242775,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,28.0,298.5,4.5,80.3977,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,40.0,235.5,3.0,53.84015,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,44.0,249.0,4.5,66.16552,0.0,8905.775,109.5,4.9377003
Reece Walsh,Fullback,2025-03-01 00:00:00.000000000,28.0,172.5,0.0,73.785576,0.0,8905.775,109.5,4.9377003
Payne Haas,Prop,2025-03-01 00:00:00.000000000,10.5,20.0,2.0,52.01681,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,39.0,88.0,0.0,42.681705,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,9.0,23.0,1.0,87.666534,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,42.0,35.0,2.0,41.750607,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,72.0,43.0,1.0,46.194286,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,51.0,99.0,2.0,99.034134,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,63.0,21.0,4.0,0.023752358,1.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,9.0,147.0,3.0,18.54729,0.0,5677.093,68.0,6.46576
Payne Haas,Prop,2025-03-01 00:00:00.000000000,37.5,179.0,4.0,38.39639,1.0,5677.093,68.0,6.46576
