player,position,game_date,tackles,meters_run,try_assists,fatigue_score,injury_status,total_distance,high_speed_runs,max_acceleration
Reece Walsh,Fullback,2025-03-01 00:00:00,43.0,231.0,6.0,15.285913,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,33.0,246.0,1.5,24.595774,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,19.0,220.5,0.0,16.068138,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,47.0,78.0,1.5,18.656702,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,12.0,292.5,3.0,28.509518,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,25.0,201.0,1.5,17.33736,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,43.0,207.0,1.5,89.676544,1.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,23.0,61.5,6.0,8.023375,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,27.0,265.5,6.0,52.451138,0.0,5779.976,67.5,4.9791512
Reece Walsh,Fullback,2025-03-01 00:00:00,15.0,85.5,6.0,41.039684,0.0,5779.976,67.5,4.9791512
Payne Haas,Prop,2025-03-01 00:00:00,22.5,128.0,2.0,98.23786,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,42.0,70.0,4.0,11.20389,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,60.0,27.0,0.0,39.78556,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,66.0,46.0,3.0,96.947044,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,42.0,46.0,0.0,86.55071,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,10.5,40.0,0.0,81.70721,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,39.0,49.0,4.0,25.790283,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,9.0,116.0,3.0,17.088758,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,42.0,47.0,3.0,66.86432,0.0,3493.3901,39.0,6.467678
Payne Haas,Prop,2025-03-01 00:00:00,72.0,130.0,3.0,92.9376,0.0,3493.3901,39.0,6.467678
Patrick Carrigan,Lock,2025-03-01 00:00:00,40.800003,96.0,2.0,55.67629,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,50.4,80.4,4.0,57.16127,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,7.2000003,199.20001,3.0,27.99791,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,30.000002,27.6,2.0,76.949295,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,44.4,64.8,1.0,18.704374,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,19.2,81.600006,1.0,32.367924,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,31.2,43.2,2.0,42.543644,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,57.600002,229.20001,2.0,50.76104,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,34.800003,212.40001,4.0,24.240973,0.0,4007.4932,53.0,4.7129745
Patrick Carrigan,Lock,2025-03-01 00:00:00,37.2,78.0,4.0,11.483683,0.0,4007.4932,53.0,4.7129745
Ezra Mam,Five-eighth,2025-03-25 05:20:00,46.0,136.0,1.3,61.062004,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,32.0,25.0,3.8999999,28.863056,1.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,20.0,118.0,1.3,58.12382,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,19.0,143.0,3.8999999,15.436272,1.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,48.0,56.0,3.8999999,48.11401,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,7.0,43.0,5.2,53.25894,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,41.0,112.0,0.0,5.1823535,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,11.0,65.0,0.0,33.660427,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,25.0,114.0,2.6,13.441467,0.0,3888.2644,51.0,4.9258986
Ezra Mam,Five-eighth,2025-03-25 05:20:00,13.0,118.0,5.2,6.337497,0.0,3888.2644,51.0,4.9258986
Adam Reynolds,Halfback,2025-03-25 05:20:00,43.0,135.0,3.8999999,98.996025,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,22.0,179.0,0.0,32.235386,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,8.0,180.0,3.8999999,80.98744,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,29.0,86.0,0.0,25.464066,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,18.0,147.0,0.0,68.15027,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,13.0,37.0,0.0,76.02279,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,30.0,44.0,5.2,59.563873,1.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,6.0,73.0,1.3,47.15762,1.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,24.0,77.0,3.8999999,41.18409,0.0,4052.1472,55.0,4.820446
Adam Reynolds,Halfback,2025-03-25 05:20:00,32.0,86.0,5.2,34.886826,0.0,4052.1472,55.0,4.820446
Selwyn Cobbo,Winger,2025-03-25 05:20:00,11.0,123.0,4.0,92.95291,1.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,48.0,193.0,4.0,83.06194,0.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,12.0,43.0,4.0,96.50269,0.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,39.0,133.0,4.0,12.429723,1.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,18.0,51.0,2.0,73.08675,0.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,21.0,194.0,3.0,93.834045,0.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,40.0,105.0,4.0,18.123306,0.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,44.0,170.0,3.0,6.6496267,1.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,8.0,146.0,2.0,74.11207,1.0,3442.8086,37.0,4.8631682
Selwyn Cobbo,Winger,2025-03-25 05:20:00,6.0,174.0,2.0,57.44731,1.0,3442.8086,37.0,4.8631682
Kotoni Staggs,Centre,2025-04-18 10:40:00,10.0,149.0,3.0,84.18288,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,46.0,36.0,0.0,13.977238,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,8.0,123.0,1.0,79.52673,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,33.0,180.0,0.0,20.162731,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,22.0,156.0,0.0,16.365595,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,30.0,62.0,0.0,16.42658,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,48.0,195.0,4.0,81.45747,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,38.0,58.0,2.0,66.51972,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,14.0,189.0,0.0,52.30654,0.0,3839.2522,47.0,4.996732
Kotoni Staggs,Centre,2025-04-18 10:40:00,40.0,45.0,2.0,35.88305,0.0,3839.2522,47.0,4.996732
Brendan Piakura,Second-row,2025-04-18 10:40:00,18.0,118.0,3.0,87.720055,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,35.0,69.0,1.0,39.24451,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,19.0,172.0,3.0,81.65994,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,12.0,171.0,3.0,43.91349,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,18.0,32.0,4.0,37.694443,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,27.0,79.0,1.0,46.26798,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,44.0,154.0,3.0,30.137787,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,25.0,76.0,3.0,74.76094,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,20.0,55.0,1.0,50.272038,0.0,4040.6106,48.0,4.882035
Brendan Piakura,Second-row,2025-04-18 10:40:00,49.0,192.0,1.0,23.22127,0.0,4040.6106,48.0,4.882035
Jordan Riki,Second-row,2025-04-18 10:40:00,22.0,39.0,3.0,89.95746,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,28.0,84.0,1.0,38.389122,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,30.0,27.0,3.0,54.355286,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,29.0,163.0,3.0,90.64721,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,49.0,161.0,4.0,62.4238,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,45.0,134.0,0.0,11.689804,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,33.0,162.0,3.0,93.983215,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,19.0,111.0,2.0,62.770805,1.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,49.0,117.0,0.0,33.490562,0.0,4055.567,48.0,4.9614525
Jordan Riki,Second-row,2025-04-18 10:40:00,5.0,85.0,0.0,13.927207,1.0,4055.567,48.0,4.9614525
Corey Jensen,Prop,2025-05-12 16:00:00,29.0,51.0,0.0,79.40252,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,11.0,105.0,4.0,62.007275,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,13.0,70.0,3.0,53.346107,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,28.0,172.0,4.0,89.38926,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,5.0,82.0,3.0,78.85972,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,48.0,144.0,4.0,15.167488,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,12.0,169.0,4.0,31.172207,1.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,28.0,77.0,2.0,24.848913,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,15.0,77.0,4.0,74.39463,0.0,3597.138,44.0,4.901918
Corey Jensen,Prop,2025-05-12 16:00:00,21.0,105.0,1.0,3.3532436,0.0,3597.138,44.0,4.901918
Billy Walters,Hooker,2025-05-12 16:00:00,12.0,68.0,2.0,56.988968,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,39.0,199.0,4.0,76.245865,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,39.0,189.0,0.0,87.67657,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,37.0,89.0,1.0,34.208176,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,9.0,34.0,1.0,82.12573,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,46.0,73.0,1.0,11.063173,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,43.0,120.0,2.0,84.645226,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,45.0,27.0,4.0,12.748866,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,32.0,72.0,4.0,39.72873,0.0,3866.6868,48.0,4.657915
Billy Walters,Hooker,2025-05-12 16:00:00,11.0,79.0,0.0,79.72954,1.0,3866.6868,48.0,4.657915
Deine Mariner,Winger,2025-05-12 16:00:00,13.0,127.0,0.0,14.991743,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,12.0,24.0,1.0,22.92514,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,16.0,122.0,0.0,72.22526,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,38.0,25.0,2.0,72.003654,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,37.0,128.0,4.0,64.11476,1.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,27.0,135.0,1.0,69.394844,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,28.0,113.0,0.0,54.272446,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,41.0,66.0,2.0,25.179905,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,39.0,118.0,2.0,34.5696,0.0,3920.652,47.0,4.8989215
Deine Mariner,Winger,2025-05-12 16:00:00,48.0,74.0,0.0,18.159771,1.0,3920.652,47.0,4.8989215
Herbie Farnworth,Centre,2025-06-05 21:20:00,44.0,187.0,4.0,90.845055,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,26.0,71.0,0.0,58.33918,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,31.0,163.0,1.0,40.08514,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,39.0,32.0,0.0,46.20058,1.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,5.0,133.0,2.0,94.72833,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,39.0,143.0,0.0,15.33514,1.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,41.0,125.0,4.0,58.622982,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,18.0,177.0,3.0,50.588867,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,7.0,166.0,0.0,61.145424,0.0,4101.1436,51.0,4.9933515
Herbie Farnworth,Centre,2025-06-05 21:20:00,5.0,164.0,4.0,1.8110183,0.0,4101.1436,51.0,4.9933515
Xavier Willison,Prop,2025-06-05 21:20:00,9.0,139.0,4.0,87.21239,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,30.0,82.0,2.0,93.21183,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,18.0,38.0,4.0,56.513317,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,43.0,111.0,4.0,69.665085,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,31.0,77.0,4.0,92.24994,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,13.0,109.0,4.0,70.72386,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,19.0,136.0,1.0,15.253904,1.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,19.0,81.0,1.0,57.628838,0.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,30.0,42.0,2.0,60.671505,1.0,3894.2551,45.0,4.9875
Xavier Willison,Prop,2025-06-05 21:20:00,46.0,146.0,0.0,42.413067,1.0,3894.2551,45.0,4.9875
Corey Oates,Winger,2025-06-05 21:20:00,17.0,156.0,4.0,73.644424,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,36.0,159.0,0.0,93.4367,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,43.0,148.0,0.0,92.556854,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,36.0,77.0,2.0,45.08394,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,8.0,141.0,4.0,11.323805,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,34.0,20.0,4.0,98.48412,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,41.0,53.0,3.0,83.88981,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,27.0,115.0,0.0,12.466269,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,43.0,145.0,0.0,92.08419,0.0,3562.377,43.0,4.9673376
Corey Oates,Winger,2025-06-05 21:20:00,49.0,137.0,1.0,86.98964,0.0,3562.377,43.0,4.9673376
Jesse Arthars,Winger,2025-06-30 02:40:00,19.0,67.0,3.0,51.883804,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,47.0,108.0,1.0,59.127544,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,33.0,136.0,1.0,39.90027,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,40.0,148.0,1.0,5.476164,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,17.0,35.0,2.0,33.519726,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,36.0,88.0,2.0,80.28535,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,11.0,41.0,1.0,0.4632023,1.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,26.0,112.0,3.0,33.34992,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,32.0,95.0,0.0,39.816868,0.0,3835.2747,47.0,4.94813
Jesse Arthars,Winger,2025-06-30 02:40:00,6.0,173.0,3.0,53.73956,0.0,3835.2747,47.0,4.94813
Blake Mozer,Hooker,2025-06-30 02:40:00,46.0,163.0,4.0,91.985565,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,49.0,198.0,2.0,34.634598,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,10.0,105.0,0.0,34.69532,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,32.0,48.0,0.0,73.75012,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,32.0,88.0,4.0,45.221794,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,48.0,66.0,4.0,22.460482,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,48.0,113.0,1.0,45.24395,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,24.0,163.0,2.0,14.085702,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,34.0,195.0,2.0,17.638699,0.0,4052.4866,54.0,4.9778438
Blake Mozer,Hooker,2025-06-30 02:40:00,15.0,104.0,3.0,49.836777,0.0,4052.4866,54.0,4.9778438
Tyson Smoothy,Hooker,2025-06-30 02:40:00,32.0,58.0,1.0,41.892544,0.0,3867.7866,49.0,4.832414
